GAME_DATE,SEASON_ID,team,elo_before,is_home,season_label
2025-04-09,22024,SAS,1416.708529833256,0,2024-25
2025-04-11,22024,SAS,1427.9765966627672,0,2024-25
2025-04-13,22024,SAS,1414.8697217664471,1,2024-25
2025-10-22,22025,SAS,1452.8804311050494,0,2025-26
2025-10-24,22025,SAS,1481.0056778096762,0,2025-26
2025-10-26,22025,SAS,1486.2057128984052,1,2025-26
2025-10-27,22025,SAS,1491.3014998323831,1,2025-26
2025-10-30,22025,SAS,1501.580181565223,1,2025-26
2025-11-02,22025,SAS,1509.095838118198,0,2025-26
2025-11-05,22025,SAS,1496.965753916331,0,2025-26
2025-11-07,22025,SAS,1494.1075240503076,1,2025-26
2025-11-08,22025,SAS,1507.5377339732304,1,2025-26
2025-11-10,22025,SAS,1511.1272169683425,0,2025-26
2025-11-12,22025,SAS,1519.2677942912696,1,2025-26
2025-11-14,22025,SAS,1511.8989425339394,1,2025-26
2025-11-16,22025,SAS,1507.8875705175658,1,2025-26
2025-11-18,22025,SAS,1514.8303250808176,1,2025-26
2025-11-20,22025,SAS,1521.3276521370417,1,2025-26
2025-11-23,22025,SAS,1529.8250064331942,0,2025-26
2025-11-26,22025,SAS,1521.9120260836,0,2025-26
2025-11-28,22025,SAS,1535.6874128751747,0,2025-26
2025-11-30,22025,SAS,1544.5079884506663,0,2025-26
2025-12-02,22025,SAS,1535.75597710331,1,2025-26
2025-12-03,22025,SAS,1541.3803341831076,0,2025-26
2025-12-05,22025,SAS,1547.8641982404165,0,2025-26
2025-12-08,22025,SAS,1538.5186645048875,0,2025-26
2025-12-10,22025,SAS,1541.0415680823664,0,2025-26
2025-12-13,22025,SAS,1557.3208962768667,0,2025-26
2025-12-18,22025,SAS,1567.359185483215,1,2025-26
2025-12-19,22025,SAS,1571.341457539446,0,2025-26
2025-12-21,22025,SAS,1589.1740632631677,0,2025-26
2025-12-23,22025,SAS,1592.992595077662,1,2025-26
2025-12-25,22025,SAS,1616.693893124252,0,2025-26
